,出現度数
Eugene Levin,85
Gabriele Ghisellini,85
Jian Wang,85
Gianluca Calcagni,85
Luis L. Sanchez. Soto,85
Marcel Ausloos,85
Robert Mann,84
Baruch Meerson,84
Boris Kopeliovich,84
Boris Malomed,83
Roldao da Rocha,83
Gerardo Adesso,83
Rudra Prakash Malik,83
Sharon Toolan,82
Herbert Weigel,82
Ralf Metzler,82
Kingman Cheung,82
Kiyoshi Shiraishi,82
Nikolaos Mavromatos,82
Johan Bijnens,82
Klaus Morawetz,81
Roberto Casadio,81
Feng Qi,81
Raul Jimenez,81
Diptiman Sen,81
Hans-Werner Hammer,81
Max Tegmark,81
A. Yu. Petrov,80
Eli Ben-Naim,80
Nikolaj Thomas Zinner,80
Hagen Kleinert,80
Didier Sornette,80
Doron Cohen,80
Damiano Anselmi,79
Jun Zhang,79
Kenji Bekki dr,79
Ettore Vicari,79
Christoph Adam,79
Carlo Giunti,79
Philip Hopkins,79
Dmitry Garanin,78
Nathan Smith,78
Selcuk Bilir,78
Jim Freericks,78
Ciriaco Andrea D'Angelo,77
Andronikos Paliathanasis,77
Matthias Vojta,77
Peter Lunkenheimer,77
A. D. Alhaidari,77
S Habib Mazharimousavi,77
Emmanuil Saridakis,77
Euaggelos E. Zotos,77
Kirill Bronnikov,77
Shuai Dong,77
Bin Wang,77
Fu-Guo Deng,77
Paul Frampton,77
Silvano Simula,76
Jonathan Rosner,76
Feng Yuan,76
Valerio Faraoni,76
Luca Salasnich,76
Kluson Josef,76
Xing-Gang Wu,76
Betti Hartmann,76
Christopher Pope,76
Claudio Coriano,76
Francisco Lobo,75
Ram Brustein,75
Ping Zhang,75
Sumiyoshi Abe,75
Per Osland,75
Michel Destrade,75
David London,75
Felix Finster,75
Mark Newman,75
Lie-Wen Chen,74
Shao-Ming Fei,74
Mubasher Jamil,74
Yoshio Koide,74
Peter Horvathy,74
Egle Tomasi-Gustafsson,74
Grigory Volovik,73
Christof Wetterich,73
Sergei Kuzenko,73
Xin Wang,73
Wally Melnitchouk,73
C. W. J. Beenakker,73
Tomohiro Matsuda,73
Gerald V. Dunne,73
Ludovic Berthier,73
T. Padmanabhan,73
Collaboration Secretariat Opal,72
Renyue Cen,72
Maxim Lyutikov,72
Bernhard Mehlig,72
Alexander Kusenko,72
Walter Grimus,72
Xavier Calmet,72
Tim Davidge,72
Ahmad Sheykhi,71
Wei Zhang,71
Kazuo Fujikawa,71
Mauricio Bellini,71
Malte Henkel,70
Andrei Belitsky,70
Iver Brevik,70
Bayram Tekin,70
Hidetsugu Sakaguchi,70
Johann Haidenbauer,70
Ginestra Bianconi,70
Chong Sheng Li,70
David Merritt,70
Pedro Pina Avelino,70
Luis Herrera,70
Tsvi Piran,69
Eugen Radu,69
X. H. Chen,69
Avraham Gal,69
Orfeu Bertolami,69
Edmond Iancu,69
Shu Chen,69
Christof Gattringer,69
Yue-Liang Wu,69
Taichi Kato,69
Edward Shuryak,69
Sudip Chakravarty,69
David D. Awschalom,69
Petter Holme,69
Quesne Christiane,69
Markus Reiher,69
Yu Nakayama,69
Davide Lazzati,69
Diego F. Torres,69
Carlos A. R. Herdeiro,68
Wolfgang Lucha,68
Ulf-G. Mei{\ss}ner,68
Apostolos Pilaftsis,68
Grzegorz Wilk,68
Robert Foot,68
Ismd31,68
Farhad Darabi,68
Gavin Ramsay,68
Akhlesh Lakhtakia,68
Kirill Tuchin,68
Bao-An Li,68
Norbert Kaiser,68
Vitor Cardoso,68
Armen Sedrakian,68
Mikhail Plyushchay,68
Thomas Schaefer,68
Yuriy Pershin,67
Christian Klinke,67
Pankaj Jain,67
Carlo Rovelli,67
Eduardo Martin-Martinez,67
Yutaka Fujita,67
Cheuk-Yin Wong,67
Masud Mansuripur,67
Stephen D. Bartlett,67
Alan D. Martin,67
Wojciech Broniowski,67
Maxim Dvornikov,67
A. B. Balantekin,67
Steen Hannestad,66
Ying Li,66
Christian Beck,66
Larry Ford,66
Jounghun Lee,66
Naihuan Jing,66
Tomaz Prosen,66
Jeff Greensite,66
Hiroshi Suzuki,66
Xin-Nian Wang,66
Farook Rahaman,66
Anna Morozovska Nickolaevna,66
Igor I. Smolyaninov,66
Martin Beneke,66
Jason X. Prochaska,66
Daniel A. Lidar,66
Masatoshi Sato,66
Kazuharu Bamba,65
Yasunori Nomura,65
Motohiko Ezawa,65
Alfredo Valcarce,65
Jian Li,65
Asantha R. Cooray,65
Alon Faraggi,65
Oleg Zaslavskii,65
Wei Li,65
Davood Momeni Dr,65
Roelof Bijker,65
Michael Gutperle,65
Ali Chamseddine,64
Gerald A. Miller,64
Andres Castellanos-Gomez,64
Kenji Fukushima,64
Juri Poutanen,64
Emanuele Berti,64
Eric Blackman,64
Richard L. Hall,64
Andrew Liddle,64
Wolfgang Bietenholz,64
Jean-Marc Luck,63
David Singh,63
Wayne Hu,63
Stefan Boettcher,63
Jiangbin Gong Prof.,63
Andrea Geralico,63
Juan Antonio Aguilar-Saavedra,63
Giampiero Esposito Dr.,63
Philip Phillips,63
Igor Rogachevskii,63
Douglas A. Singleton,63
Richard F. Lebed,63
Yongseok Oh,63
Ettore Minguzzi,63
Keith Olive,63
Sven Heinemeyer,63
Avi Loeb,63
Martin White,62
Ulrich Heinz,62
Robert Fleischer,62
Kuang-Ta Chao,62
Jeppe C. Dyre,62
Joan Sola,62
Charles M. Marcus,62
Walter Kob,62
Burkhard Kleihaus,62
Jiulin Du,62
Diederik Aerts,62
Zoltan Haiman,62
U. Meissner,62
Johann Rafelski,62
R. Sekhar Chivukula,62
Etera R. Livine,62
Stephen Kane,61
Saibal Ray,61
Laszlo Kish,61
Shengqiang Zhou,61
Sergey Ganichev,61
Daniel Grumiller,61
Rudolph C. Hwa,61
Itzhak Bars,61
Holger F. Hofmann,61
Edward Witten,61
Banibrata Mukhopadhyay,61
Thomas Speck,61
Alex Buchel,61
Jiliang Jing,61
Sean A. Hartnoll,61
Joao Magueijo,61
Vladimir Dzuba,61
S. L. Bud'ko,61
Gregory Korchemsky,61
Francesco Zamponi,60
Yu. A. Simonov,60
Yuri V. Kovchegov,60
Sergey Troshin,60
Boris Pioline,60
Jie Ren,60
Ujjal Debnath,60
Michael Klasen,60
Vladimir Dzhunushaliev,60
Douglas Natelson,60
Bob Holdom,60
Cenke Xu,60
Daniel Boyanovsky,60
Patrick Valageas,60
Erhan Iltan,60
Richard de Grijs,60
E. H. Hwang,60
"Markus Sch\""oller",59
Sergiu I. Vacaru,59
Saharian,59
Anatoli Afanasjev,59
Kirill Krasnov,59
Pavel Kroupa,59
Andrew Adamatzky,59
Pavel Fileviez Perez,59
Frithjof Karsch,59
Kikuo Harigaya,59
Alexander Turbiner,59
Zhongzhi Zhang,59
Sadhan Adhikari K,59
Marek Rogatko,59
Bahram Mashhoon,59
S. Weinzierl,59
Stefano Pirandola,59
Jonathan Feng,59
Xin Liu,59
Mikhail Shifman,59
Enrico Bozzo,59
Jerzy Lukierski,58
Ronald Dickman,58
Yoshikazu Mizuguchi,58
Mark R. Krumholz,58
Patrik Schmuki,58
Mukund Rangamani,58
Thomas Rauscher,58
Peihong Gu,58
Thomas G. Rizzo,58
Hamid Reza Sepangi,58
Zvi Bern,58
Jan Ambjorn,58
Heiko Rieger,58
Ryan Martin,58
Angel S. Sanz,57
Hui Hu,57
George Siopsis,57
Zurab Kakushadze,57
Jian-Yang Zhu,57
Jacek Dobaczewski,57
Matthew Hastings,57
Patrick Huber,57
Constantia Alexandrou,57
Lior M. Burko,57
Martin Hardcastle,57
Fabrizio Illuminati,57
Alexander Balandin,57
J. Schnack,57
Stuart Wyithe,57
Lin He,57
Piers Coleman,57
Ahmed Jellal,57
Nikolaos Kidonakis,57
DaeKil Park,57
Harold Steinacker,57
S. I. Kruglov,57
Markus Aschwanden,57
Ki Seok Kim,57
Stefano Forte,57
Saptarshi Das,57
Panayotis Kevrekidis,56
Kevin Luhman,56
Dongsu Ryu,56
Jorge Russo,56
Arnoldas Deltuva,56
Steven Gubser,56
Andrzej Czarnecki,56
Fuminobu Takahashi,56
E. Ragoucy,56
Igor Mazin,56
Menderes Iskin,56
Giovanni Carraro dr,56
Ralf Hofmann,56
David d'Enterria,56
Andrzej M. Oles,56
Yungui Gong,56
Ashok Das,56
Adam Burrows,56
Peter Petreczky,56
Jon M. Miller,56
W. Prellier,56
Luca Fabbri,56
Rafael I. Nepomechie,56
Wadim Zudilin,56
Yuri Izotov I.,56
Michael Potthoff,56
David Moss,56
Daniele Fargion,56
Muneto Nitta,56
Lawrence M. Krauss,56
Katja Lindenberg,55
Lei Wang,55
Sunandan Gangopadhyay,55
Charles Dermer,55
Jean-Luc Thiffeault,55
Sheldon Stone,55
Leonid Glozman,55
Vasily Shaginyan,55
Anton Rebhan,55
Paul Fendley,55
Francesco Toppan,55
Adrian Kent,55
Ra\'ul de la Fuente Marcos,55
Sadhan Kumar Adhikari,55
Hui Li,55
David A. Lowe,55
Hyun Min Lee,55
Chen Songbai,55
Laura Tolos,55
David Tong,55
Kurt Langfeld,55
Yang Li,55
Alexander E. Hramov,55
Wung-Hong Huang,55
Alexander I. Suciu,55
Igor Ivanov,55
Brett D. Altschul,55
Guido Burkard,55
Alex Lazarian,55
Tomohiro Taniguchi,55
Fulvio Melia,54
James P. Crutchfield,54
Matthias Burkardt,54
Geza Odor,54
Eric R. Sharpe,54
C. A. Dominguez,54
Magno Machado,54
Marco Frasca,54
Yi Wang,54
Jonathan  Tennyson,54
Mairi Sakellariadou,54
Jun Xu,54
Alessio Marrani,54
Kazunori Nakayama,54
Alberto Saa,54
Mahir S. Hussein,54
Qiang Zhang,54
Nils Andersson,54
Roderich Tumulka,54
Subir Ghosh,54
Eduardo Fradkin,54
Werner Rodejohann,54
Thorsten Renk,54
Varghese Mathai,54
Sourendu Gupta,54
Clifford V. Johnson,54
Weihua Deng Professor,54
Cliff Burgess,54
Behnam Pourhassan,54
Ivan Vitev,54
Santanu Maiti K.,54
Junichiro Kono,54
Yasuhiko Tsue,54
Branislav Nikolic,54
Francesco Giazotto,54
Alain Barrat,54
Brian C. Tiburzi,54
Yong Zhang,54
Yoshiko Kanada-En'yo,54
Takaaki Nomura,54
Dmitri Kharzeev,54
Takashi Nakatsukasa,54
Hiroki Saito,54
Adi Armoni,54
Adam J. Burgasser,54
Hiroshi Kontani,54
Eric Poisson,54
Sumanta Chakraborty,54
Jorgen Rasmussen,54
Tom Mackay,53
Hitoshi Murayama,53
Ricardo Carretero,53
Hao Wei,53
Piercarlo Bonifacio,53
Henrik Beuther,53
Miao Li,53
Jeong-Hyuck Park,53
Kai Liu,53
Yael Naze,53
Kurt Hinterbichler,53
Dmitri Melikhov,53
Leonard S. Kisslinger,53
Sergio Caracciolo,53
John Ellis,53
Yao-Zhong Zhang,53
Gaston Giribet,53
Sunil Maharaj,53
Jorge Piekarewicz,53
Euro Spallucci,53
Maarten Baes,53
Erik Sjoqvist,53
Sebastian Eggert,53
Andrzej A. Zdziarski,53
Winfried Zimdahl,53
Marko Znidaric,53
Dimitri Veras,53
Vadim Guzey,52
Dvira Segal,52
Hiroshi Okada,52
Mason A. Porter,52
Shiping Feng,52
Mohammad R. Garousi,52
Yun Soo  Myung,52
Arkady Tseytlin,52
Nissim Kanekar,52
Stefano De Leo,52
Dirk Helbing,52
Chuan Hung Chen,52
Ale\v{s} Bizjak,52
Guillermo Torres,52
Nemanja Kaloper,52
Dominique Vuillaume,52
Pietro Antonio Grassi,52
Holger Gies,52
Slava G. Turyshev,52
Jusak Tandean,52
Andrew P. Gould,52
Julien Vidal,52
Changxing Miao,52
Juan Maldacena,52
Jacob Linder,52
Yue Chongxing,52
Julio Cesar Fabris,52
Charles J. Horowitz,52
Mauro Paternostro,52
Kim Maltman,52
Peter Arnold,52
M. Hossein Dehghani,52
Jonathan Doye,52
Thomas Papenbrock,52
Qing-Guo Huang,52
Christian Weiss,52
Artur Ishkhanyan,52
Joerg Evers,52
Zigao Dai,52
Jean-Philippe Lansberg,52
Christoph Rauch,52
Jeremy S. Heyl,51
Yoichi Ando,51
Luca Ciotti,51
Joshua N. Winn,51
Schehr Gregory,51
Izumi Hachisu,51
Enrique Ruiz Arriola,51
Mark Dykman,51
Nan Lin Wang,51
Fayin Wang,51
Klaus Ziegler,51
Vincenzo Fiorentini,51
Qun Wang,51
Hans-Thomas Janka,51
V. A. Yerokhin,51
Oleg Kochukhov,51
Daniel Errandonea,51
Yang Liu,51
Bibhas Majhi Ranjan,51
Bin Liu,51
Igor Strakovsky,51
Daniele Binosi,51
Axel Maas,51
Marcelo J. Reboucas,51
Mauro Sereno,51
Steven B. Giddings,51
Danil Boukhvalov W,51
Marco Polini,51
Ramazan Sever,51
Artem Lipatov,51
Brian M. Andersen,51
Peter Forrester,51
Stephen King,51
Markus Boettcher,51
Vicente Garzo,51
Shi-Zeng Lin,51
Andrey A. Sukhorukov,51
Spencer Klein,50
Fred C. Adams,50
Spyros Basilakos,50
David Vanderbilt,50
Herbert Neuberger,50
Jan M. L. Martin,50
Hiroyuki Hirashita,50
David Vitali,50
John M. Tranquada,50
Anastasia Doikou,50
Hajime Sotani,50
Satoru Odake,50
Emilio Elizalde,50
Tom Steele,50
Valmir Barbosa,50
Shi-Lin Zhu,50
Emmanuel Trizac,50
Michael Bordag,50
Taras Banakh,50
Marina Nielsen,50
Martin Cederwall,50
Niklas Beisert,50
Jonathan R. Ellis,50
Francesco Becattini,50
Loic Turban,50
Shaaban Khalil,50
Renxin Xu,50
Pedro Fernando Simoes Costa,50
Pablo D. Esquinazi,50
Carlos P. Herrero,50
Andrew R. Liddle,50
Dmitri Vassilevich,50
Alejandro Corichi,50
Qiang Zhao,50
Dieter Bauer,50
Werner Vogelsang,50
Lee Peng Teo,50
Tanmay Vachaspati,50
Olaf Hohm,50
Debashish Chowdhury,50
Mariano Cadoni,50
Robert Seiringer,50
Friederike Schmid,50
Edo Berger,49
Elias C. Vagenas,49
J. Gunion,49
Michael A. Zudov,49
Claude Semay,49
Marco Grilli,49
Charles Bonatto,49
Jerome P. Gauntlett,49
Revnivtsev Mikhail,49
Klaus Werner,49
David Berenstein,49
Christian Boehmer,49
Jordi Boronat,49
Yoshiaki Sofue,49
Uwe Grimm,49
Lev Vaidman,49
Bo Wang,49
Stanley J. Brodsky,49
Ulisse Munari,49
Nobuyoshi Ohta,49
Hans De Raedt,49
Jesko Sirker,49
Yue Shen,49
Stefano Profumo,49
Pasquale Calabrese,49
Gavin Salam,49
Isaac Shlosman,49
Bing Zhang,49
Thomas Boller,49
Sergei Nayakshin,49
Bertrand Berche,49
Yu Shi,49
Giuseppe G. N. Angilella,49
Federico Corberi,49
Akikazu Hashimoto,49
Almut Beige,49
Igor Herbut,49
Uwe R. Fischer,49
Hyunsoo Yang,49
Gert Aarts,49
James Cline,49
Zhenjun Xiao,49
Fernando C. Lombardo,49
Alexander Potekhin,49
Andrea Miglio,49
Jing Li,48
Yuming Wang,48
Jorma Louko,48
Brian Punsly,48
Thomas Schick,48
Anton Ilderton,48
Lorenzo Maccone,48
Patrick Godon,48
Alessandro Papa,48
Donato Bini,48
Chris Pope,48
Patrick Rinke,48
Yamir Moreno Vega,48
Seung Ki Baek,48
Ariel Zhitnitsky,48
Yanwei Ma,48
Gabor Takacs,48
Stoytcho Yazadjiev,48
Wen Zhao,48
Yannick Meurice,48
Dejan Stojkovic,48
Andreas Honecker,48
Valentin Irkhin,48
Sergei Sergeenkov,48
Andrew Norris,48
Eva Silverstein,48
Thierry Dauxois,48
Eran Bouchbinder,48
Gang Li,48
Giovanni Gallavotti,48
Leopoldo A. Pando Zayas,48
Jeremy Kepner,48
Mikhail Volkov,48
Horatiu Stefan Nastase,48
Carlo Luciano Bianco,48
John Southworth,48
Grigori Volovik,48
Gui-Jun Ding,48
Masamune Oguri,48
Roman Rafikov,48
Nikolai Sinitsyn,48
Boaz Tsaban,48
Sait Umar,48
Steven Sam,48
Eric Lauga,48
Chris Carilli,48
Ichiro Oda,48
David Eppstein,48
Hua-Xing Chen,48
Chih-Chun Chien,48
Roberto Soria,48
Jose Geraldo Pereira,48
Raphael Bousso,48
Vladimir Galkin,48
Parampreet Singh,48
Dariusz Chruscinski,48
Francisco Jose Herranz,47
Wojciech Florkowski,47
Naoki Yamamoto,47
Xin-Zhou Li,47
Gorazd Cvetic,47
Rabindra N. Mohapatra,47
Francisco A. Brito,47
Brett McInnes,47
Simon Portegies Zwart,47
Kurt Jacobs,47
Francesco Massaro,47
Hongwei Yu,47
Alister W. Graham,47
Constantino Tsallis,47
Luiz Capretz Dr.,47
Jonathan Katz,47
Kamran Behnia,47
Anders W. Sandvik,47
Walter Winter,47
Maxim Zabzine,47
Ofer Aharony,47
Marco Ruggieri,47
Nelson R. F. Braga,47
Aleksey Fedorov,47
Gerrit Schierholz,47
Bryan Gaensler,47
Xuexi Yi,47
Peter Mohr,47
Stefano Andreon,47
Naoki Sasakura,47
Jonas Larson,47
Perivolaropoulos Leandros,47
Konstantin Bliokh,47
Thorsten Poeschel,47
O. Stenull,47
Stephen P. Martin,47
Piero Madau,47
Neil J. Cornish,47
Sylvain Deville,47
Claudio Castellano,47
Theodore A. Jacobson,47
Gudrun Heinrich,47
Jarah Evslin,47
Stefan Thurner,47
Diego Pavon,47
Sergey Khrapak,47
Michele Maggiore,47
Arkadiusz Wojs,47
Nuno Peres,47
Massimo D'Elia,47
Matthias R. Gaberdiel,47
Yi Liao,46
Atsuo Kuniba,46
Yi Zhang,46
Terry Mart,46
Henning Schomerus,46
Rob Fender,46
Jonathan Heckman,46
Jesus Cuevas,46
Tomas Ortin,46
Jason Petta,46
Antonio Lopez Maroto,46
Andreas Vogt,46
Michael Martin Nieto,46
Jae Dong Noh,46
Jonathan Halliwell,46
Kohta Murase,46
Dr. Sudhaker Upadhyay,46
Dong-han Yeom,46
Alan Sokal,46
Milan \v{Z}ukovi\v{c},46
Mikhail G. Katz,46
M. M. Glazov,46
Philippe Brax,46
Zhi-Zhong Xing,46
Yang Sun,46
Bo Li,46
Floyd Stecker,46
Sandro Wimberger,46
Douglas J. Durian,46
Ivan Christov,46
Ralph Blumenhagen,46
Robert de Mello Koch,46
Murray Batchelor,46
Mikhail V. Medvedev,46
Dr. Rukmani Mohanta,46
Stephen Adler,46
Pei-Ming Ho,46
Shahn Majid,46
Alfio Bonanno,46
John McDonald,46
T. Lappi,46
Anirban Pathak,46
Chong-Sun Chu,46
Viqar Husain,46
Sang Pyo Kim,46
Alessandro Nagar,46
Eulogio Oset,46
Antonio Soares de Castro,46
Chandralekha Singh,46
Christophe Ringeval,46
Vasilii Gvaramadze,46
Iwan Jensen,45
Gino Isidori,45
Yoichi Takeda,45
Prasanta K. Panigrahi,45
Oleg Andreev,45
Samir Mathur,45
Amiram Leviatan,45
Stefan Wagner,45
Giuseppe Bimonte,45
Claudio Grimaldi,45
Dmitri Khveshchenko,45
Peter Kopietz,45
Nikolai Kudryashov Alekseyevich,45
Bogdan Mihaila,45
Alice C. Quillen,45
Sergey Afonin,45
Adilson Enio Motter,45
Christian Saemann,45
Martin Hasenbusch,45
Carl Bender,45
Gian Paolo Vacca,45
M Zahid Hasan,45
Roy Maartens,45
Roberto Mignani,45
Emilio Hernandez-Garcia,45
Christian Fischer,45
Fabrizio Tavecchio,45
Krzysztof Malarz,45
Harvey B. Meyer,45
Yuji Tachikawa,45
Ning Wang,45
Mukremin Kilic,45
Guido Boffetta,45
Daijiro Suematsu,45
Anton Kapustin,45
Gilberto Ramalho,45
Giorgio Torrieri,45
David R. Ballantyne,45
John R. Hiller,45
Vidar Gudmundsson,45
Jean-Francois Berret,45
Pam Morehouse,45
Jiangyong Jia,45
Hugo Touchette,45
Hideki Asada,45
A. Tureanu,45
Mirjam Cvetic,45
Hrvoje Nikolic,45
Roland Combescot,45
Robert Jack,45
S. V. Troitsky,45
Jose' P. S. Lemos,45
I. S. Burmistrov,45
Ansgar Reiners,45
Alexander Zhidenko,45
Seyed Akbar Jafari,45
John F. Donoghue,45
Mir Faizal,45
Emilio Ferrara,45
Eduard V. Deviatov,45
Yusuke Nishida,45
Jing Zhang,45
Adolfo del Campo,45
Mustapha Ishak,45
Timothy Clifton,44
Sacha Davidson,44
Eric S. Swanson,44
Holger Frahm,44
Kazuya Koyama,44
Mordehai Milgrom,44
Shun Zhou,44
T. P. Singh,44
Maciej Dunajski,44
Wayne W. Repko,44
Michelangelo Mangano,44
Rosalba Perna,44
Raffaella Morganti,44
Peter Kroll,44
Nicola Manini,44
Hyun Seok Yang,44
Sven Burger,44
Ismail Zahed,44
Shoji Yamamoto,44
Raghunath Sahoo,44
Farinaldo Queiroz,44
Sergio Scopetta,44
Timothy J. Hollowood,44
Simon F. Ross,44
Eli Waxman,44
Luc Dessart,44
Supriyo Bandyopadhyay,44
Lianyi He,44
Tom Chou,44
Christian B. Lang,44
Jaromir Fiurasek,44
Damir Becirevic,44
Rudy Wijnands,44
Stephen G. Naculich,44
Jean Alexandre,44
Giuliano Benenti,44
Michela Mapelli,44
Alexander Gorban,44
Takeshi Chiba,44
David Garfinkle,44
Tetsuya Shiromizu,44
Alok Shukla,44
Ali Kaya,44
Carlos O. Lousto,44
Jasson Vindas,44
Solange Odile Saliu,44
Alexander Lisyansky,44
Hernando Quevedo,44
Sinya Aoki,44
Georges Meynet,44
Thomas Prellberg,44
Dorje C. Brody,44
Stuart Raby,44
Paul Sutcliffe,44
Peter West,44
Igor Moskalenko,44
Denis Goldobin,44
J. M. Pitarke,44
Andrew Archer,44
James T. Liu,44
Wei-Tou Ni,44
Piotr Garbaczewski,44
Jean-Luc Marichal,44
Chris Stock,44
Bitan Roy,44
Sabine Hossenfelder,44
Martin Hohenadler,44
Alexander Silenko,44
Jiangfeng Du,44
Pouria Pedram,44
Thomas A. Trainor,44
Kirill Samokhin,44
Pau Amaro-Seoane,44
Steven Carlip,43
Metod Saniga,43
Georg Raffelt,43
George Leontaris,43
Duncan Forbes,43
Roberto Emparan,43
David Bugg,43
Fabio Sciarrino,43
Ernst Paunzen,43
Jens Chluba,43
Rajamani Narayanan,43
Bernhard Urbaszek,43
Hector DE Vega,43
Sergei Nechaev,43
Thierry Mora,43
Konstadinos Sfetsos,43
Colin Benjamin,43
Mikito Koshino,43
Travis S. Metcalfe,43
Andrew K. Waldron,43
Jan Gutowski,43
Marek Karliner,43
Thomas Lorenz,43
Omar Benhar,43
Rustem Khasanov,43
Ruprecht Machleidt,43
Valerio Lucarini,43
Sigbjorn Hervik,43
Adrian Melott,43
Ralf Rapp,43
Denis Krotov,43
Masahito Yamazaki,43
Peter Meszaros,43
Iosif Galanakis,43
Nikolai Priezjev V.,43
Jiri Podolsky,43
Nicolas Chamel,43
"Michael K\""ohl",43
Diego Rubiera-Garcia,43
Mariam Bouhmadi-Lopez,43
Leonid Levitov,43
Bruno Julia Diaz,43
Krzysztof Pachucki,43
Ho-Meoyng Choi,43
Yanguang Chen,43
Fernando Haas,43
Robert Conte,43
Sascha Kurz,43
Thorsten Emig,43
Soker Noam,43
Jozsef Cserti,43
Santanu Maiti Kumar,43
Marcella Marconi,43
Jianke Yang,43
Yun Wang,43
Sergei V. Ketov,43
Steven Furlanetto,43
Andrey Tsiganov,43
Hiroshi Koibuchi,43
Rok Zitko,43
A. D. Polosa,43
P. Grassberger,43
Jailson Alcaniz,43
A. N. Ivanov,43
Abdel Nasser Tawfik,43
Keith R. Dienes,43
Judith G. Cohen,43
Yu Zhang,43
Naoki Seto,43
Peter Schweitzer,43
Oleg Derzhko,43
Pablo Reig,43
Dmitry Zezyulin,43
Emil Prodan Dr.,43
Tianjun Li,43
Andrei Khrennikov,43
Ignacio Ferreras,43
David C. Johnston,42
Andre Rubbia,42
Hikaru Kawamura,42
Alexander Sakhnovich,42
Benjamin Fuks,42
Andrew Lucas,42
Giancarlo Ghirlanda,42
Andr\'es E. Piatti,42
Pierre Kervella,42
Marco Genovese,42
Hong-Jian He,42
Tobias Stauber,42
Ruth Durrer,42
Denis Bernard,42
Kenichi Sasaki,42
Per Arne Rikvold,42
Joachim Krug,42
Max Petersen,42
Liu Zhao,42
Svozil Karl,42
Titarchuk Lev,42
Stanislaw Dubiel,42
Li Yang,42
Krishnendu Sengupta,42
Natalya A. Zimbovskaya,42
Ctirad Klimcik,42
Chengping Shen,42
Attila Szolnoki,42
Thomas J. Maccarone,42
Gabriele Breuer,42
Dongsu Bak,42
Elizabeth Winstanley,42
